name,sowing,spacing,harvest,compatibility,avoid,image_link,temperature
Amaranth, Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 50 cm apart , Harvest in 7-8 weeks. ," Onions, corn, peppers, egg plant, tomatoes",,www.gardenate.com/image/189,18°C and 30°C
Angelica, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 45 cm apart ," Harvest in approximately 18 months. Angelica archangelica has slightly dull leaves, not shiny.. "," Any herbs that like damp, shady areas - mint, lemon balm",,www.gardenate.com/image/124,10°C and 25°C
Artichokes, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 160 - 200 cm apart , Harvest in 42-57 weeks. , Needs a lot of space. Best in separate bed,,www.gardenate.com/image/14,15°C and 18°C
Asparagus, Easy to grow. Plant as crowns., 20 - 40 cm apart , Harvest in 2-3 years. Plant 'crowns' to harvest earlier . ," Parsley, Basil, Nasturtiums, Lettuce"," Garlic, Onions, and root vegetables",www.gardenate.com/image/178,16°C and 30°C
Asparagus Pea, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 20 - 25 cm apart ," Harvest in 8-11 weeks. Pick early, pick often. ", Best grown in separate bed,,www.gardenate.com/image/176,15°C and 20°C
Basil," Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 20 - 25 cm apart , Harvest in 10-12 weeks. Pick before flowering. , Tomato,,www.gardenate.com/image/22,18°C and 35°C
Beans - climbing, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 10 - 20 cm apart , Harvest in 9-11 weeks. ," Sweetcorn, spinach, lettuce, summer savory, dill, carrots, brassicas, beets, radish, strawberry, cucumbers, zucchini, tagates minuta (wild marigold)"," Alliums (Chives, leek, garlic, onions), Florence fennel",www.gardenate.com/image/42,16°C and 30°C
Beans - dwarf, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 5 - 15 cm apart , Harvest in 7-10 weeks. Pick often to encourage more flower production. ," Sweetcorn, spinach, lettuce, summer savory, dill, carrots, brassicas, beets, radish, strawberry and cucumbers, tagates minuta (wild marigold)"," Alliums (Chives, leek, garlic, onions) Sunflower",www.gardenate.com/image/43,16°C and 30°C
Beetroot, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 20 - 30 cm apart , Harvest in 7-10 weeks. ," Onions, Silverbeet (Swiss Chard), Lettuce, Cabbage, Dwarf Beans, Dill, Peas. Strawberries"," Asparagus, Carrots, Sweetcorn, Spinach",www.gardenate.com/image/67,7°C and 25°C
Borage, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 20 cm apart ," Harvest in 8-10 weeks. Use leaves before flowers appear, otherwise they will be 'hairy'. . "," Strawberry, tomatoes, zucchini/squash. Deters pests from many plants.",,www.gardenate.com/image/180,10°C and 25°C
